species,long,lat
Alouatta_palliata_0,-79.720751,9.133607
Alouatta_palliata_0,-84.106841,10.401713
Alouatta_palliata_0,-79.610808,9.606405
Alouatta_palliata_0,-79.717644,9.132041
Alouatta_palliata_0,-79.659048,9.075901
Alouatta_palliata_0,-84.068367,10.451325
Alouatta_palliata_0,-82.827148,9.728968
Alouatta_palliata_0,-79.731868,9.149342
Alouatta_palliata_0,-83.514518,9.486458
Alouatta_palliata_0,-88.439835,15.712205
Alouatta_palliata_0,-79.719899,9.140198
Alouatta_palliata_0,-83.507979,10.544657
Alouatta_palliata_0,-79.78022,9.118908
Alouatta_palliata_0,-80.021555,-2.174593
Alouatta_palliata_0,-85.786591,10.481436
Alouatta_palliata_0,-80.019709,-2.182108
Alouatta_palliata_0,-83.553611,10.143333
Alouatta_palliata_0,-85.676284,10.579731
Alouatta_palliata_0,-82.68467,8.887164
Alouatta_palliata_0,-80.801821,-1.029987
Alouatta_palliata_0,-82.313462,9.406555
Alouatta_palliata_0,-85.758537,10.528727
Alouatta_palliata_0,-82.257353,9.363322
Alouatta_palliata_0,-82.256053,9.351618
Alouatta_palliata_0,-79.662078,9.077682
Alouatta_palliata_0,-84.862433,10.173811
Alouatta_palliata_0,-82.256942,9.352797
Alouatta_palliata_0,-82.256897,9.352967
Alouatta_palliata_0,-85.625084,10.828301
Alouatta_palliata_0,-82.724784,9.636335
Alouatta_palliata_0,-87.377745,15.823248
Alouatta_palliata_0,-83.570964,8.540836
Alouatta_palliata_0,-84.858836,10.181806
Alouatta_palliata_0,-82.215863,8.424574
Alouatta_palliata_0,-84.179375,10.304046
Alouatta_palliata_0,-82.721329,9.629375
Alouatta_palliata_0,-83.432915,8.847068
Alouatta_palliata_0,-79.773316,9.117668
Alouatta_palliata_0,-85.39712,9.85453
Alouatta_palliata_0,-79.715364,9.121708
Alouatta_palliata_0,-79.715428,9.121761
Alouatta_palliata_0,-84.068638,10.450267
Alouatta_palliata_0,-84.771349,10.899027
Alouatta_palliata_0,-85.403612,10.796913
Alouatta_palliata_0,-79.773422,9.117547
Alouatta_palliata_0,-79.714708,9.127262
Alouatta_palliata_0,-79.993054,0.478651
Alouatta_palliata_0,-84.014195,10.397763
Alouatta_palliata_0,-85.397142,9.854626
Alouatta_palliata_0,-85.397091,9.854461
Alouatta_palliata_0,-85.397113,9.854613
Alouatta_palliata_0,-85.39715,9.854459
Alouatta_palliata_0,-84.144713,9.387164
Alouatta_palliata_0,-84.145056,9.386401
Alouatta_palliata_0,-82.754742,9.655627
Alouatta_palliata_0,-83.756725,9.157696
Alouatta_palliata_0,-83.591295,8.466047
Alouatta_palliata_0,-85.624196,9.986652
Alouatta_palliata_0,-83.58694,10.213889
Alouatta_palliata_0,-85.727394,10.528048
Alouatta_palliata_0,-83.733706,8.608586
Alouatta_palliata_0,-84.722003,11.030328
Alouatta_palliata_0,-84.721928,11.03021
Alouatta_palliata_0,-84.796953,10.3363
Alouatta_palliata_0,-83.499269,10.53453
Alouatta_palliata_0,-83.464355,8.560906
Alouatta_palliata_0,-85.057284,10.720034
Alouatta_palliata_0,-83.487852,8.867693
Alouatta_palliata_0,-79.715606,9.129644
Alouatta_palliata_0,-79.777458,9.117869
Alouatta_palliata_0,-80.002243,9.323075
Alouatta_palliata_0,-85.665448,9.963333
Alouatta_palliata_0,-83.50796,10.543542
Alouatta_palliata_0,-83.520399,10.567446
Alouatta_palliata_0,-84.809409,10.3381
Alouatta_palliata_0,-83.733801,8.609175
Alouatta_palliata_0,-84.618167,9.722063
Alouatta_palliata_0,-85.354776,10.179843
Alouatta_palliata_0,-85.84624,10.333911
Alouatta_palliata_0,-84.144065,9.398895
Alouatta_palliata_0,-84.005185,10.431351
